Bulk_2	X1_C01	X1_C02	X1_C03	X1_C08	X1_C15	X1_C17	X1_C18	X1_C19	X1_C22	X1_C23	X1_C27	X1_C29	X1_C30	X1_C31	X1_C34	X1_C37	X1_C38	X1_C40	X1_C41	X1_C42	X1_C49	X1_C51	X1_C61	X1_C65	X1_C67	X1_C75	X1_C81	X2_C03	X2_C05	X2_C06	X2_C07	X2_C10	X2_C14	X2_C15	X2_C16	X2_C18	X2_C19	X2_C21	X2_C22	X2_C23	X2_C25	X2_C27	X2_C29	X2_C34	X2_C42	X2_C49	X2_C51	X2_C53	X2_C55	X2_C56	X2_C57	X2_C59	X2_C63	X2_C64	X2_C67	X2_C69	X2_C70	X2_C71	X2_C72	X2_C73	X2_C74	X2_C75	X2_C79	X2_C86	X2_C87	X2_C95
10062	2.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406.65	0	0	0	0	0	0	0	0	0	0	0	0
10085	5.51	0	354.31	0	0	4.28	0	0	0	0	0	0	0	101.92	0	0	0	0	0	0	0	193.15	0	0	6.96	0	0	0	0	0	0	0	0	0	0	0	0.54	113.45	0	0	0	0	269.9	0	55.2	0	0	0	0	0	780.1	0	0	0	0	28.99	0	0	0	0	0	0	0	0	0	0	0
1009	60.05	0	0.26	0	0	59.35	0.69	0	0	0	0	0	0	580.86	0	0	0	0	0	53.04	0	0	0	0	47.33	0	0	0	156.62	0	0	0.24	98.98	0	0	0	0	0	16.02	158.71	0	0	193.17	0	0	0	1.35	0	333.2	0	200.9	0	0	0	62.73	136.85	0	0	72.11	0	0	0	185.76	0	0.09	0	0
10137	15.54	0	0	0	1.3	0	0	0	0	0	106.78	0	0	0	0	0	133.52	1.38	0	0	0	0	0	0	0	33.17	9.82	0	15.8	5.24	0	0	0	0	153.18	0	45.26	0	5.22	0	7.5	23.41	30.73	0	0	0	0	5.55	0	0	0	0	0	0	83.02	9.92	0	0	0	3.88	206.15	51.91	0	0	0	0	0
1019	45.57	0	0	16.67	0	114.1	63.69	26.14	0	0	0	121.45	0	0	16.45	0	0	0	0	214.01	0	30.84	227.28	3.28	0	5.15	56.05	56.47	70.6	155.77	12.45	115.45	208.69	5.36	0	55.81	121.44	9.03	0	277.63	0	0	0	0	0	20.8	6.45	249.08	351.98	0	0	0	0	29.67	361.26	153.94	0	16.72	0	4.63	30.93	0	10.35	0	0	48.69	0
10225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10272	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.59	0	0	0	0	0	0	0	0	0	0	0	0	45.15	0	0	0	0	0	0	116.31	0	4.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.03	0	0	0	0	0	0	0	0
10278	0.62	0	0	0	0	0	0	60.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72.59	0	0	0	0	0	0	47.64	0	0	0	0	0	2.09	1.09	2.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10346	55.29	0	0	0	0	0	7.95	0	0	7.84	142.13	4.99	0	1.72	0	0	0	0	0	0	0	0	0	0	0	58.24	0	0	0	0	0	76.62	0	9.57	0	0	0	5.85	0	0	0	0	0	0	0	0	0	0	0	0	986.03	86.53	10.12	0	0	26.36	0	0	380.42	0	0	0	0.41	0	0	0	0
